,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last
117,IBRD only,IBD,4772284113.0,404863045.0,2625349359.0,73.19550862,68.7859052,6192.3472950000005,,,2.6029659990000003,1.4561130580000001,47.20828556
118,Iceland,ISL,353574.0,52312.0,331698.0,82.20487805,3.526922693,67960.0,,,3.2,3.9701,7.939999834
119,IDA & IBRD total,IBT,6412522234.0,463143690.0,3232404453.0,70.85855778,68.70845188,4958.3123780000005,,,2.460925386,1.2057369709999999,52.29127728
120,IDA blend,IDB,555830605.0,19445231.0,235563372.0,61.99688464,93.32562183,1799.014463,,,,0.719938912,64.20565699999999
121,IDA only,IDX,1084407516.0,38835414.0,371491722.0,64.97329468,60.26218738,1163.885716,,,,0.301557494,72.35224978
122,IDA total,IDA,1640238121.0,58280645.0,607055094.0,63.96471201,68.48408972,1374.363931,,,,0.444726495,69.86092604
123,Iran,IRN,81800269.0,5058998.0,61266765.0,76.271,50.22242012,5470.0,,,1.5,1.14,41.24199963
124,Iraq,IRQ,38433600.0,1277379.0,27085311.0,70.294,88.53057004,5040.0,26.36446555,83.55954253,1.4,0.8217,25.85400033
125,Ireland,IRL,4853506.0,672978.0,3065960.0,81.95609756,70.45298302,61390.0,,,2.8,3.0861,10.85500044
126,Isle of Man,IMN,84077.0,,44214.0,,147.50350880000002,75340.0,,,,1.449,
127,Israel,ISR,8883800.0,1064011.0,8210230.0,82.60243902,410.52680219999996,40920.0,,,3.1,3.2176,8.228000283
128,Jamaica,JAM,2934855.0,258169.0,1633951.0,74.267,270.9930748,4970.0,4.342288096,58.256137100000004,1.7,1.3199,35.72899872
129,Jordan,JOR,9956011.0,382957.0,9057879.0,74.292,112.1424983,4200.0,28.23461177,73.19309317,1.4,2.3436,8.58400017
130,Kazakhstan,KAZ,18276499.0,1350971.0,10495828.0,72.95,6.769825907,8070.0,28.676963300000004,50.21454012,6.7,3.2522,25.84799954
131,Kenya,KEN,51393010.0,1202178.0,13891531.0,65.90899999999999,90.29941666,1620.0,1.18825729,27.40089335,1.4,0.1988,53.49499893
132,Kiribati,KIR,115847.0,4579.0,62623.0,67.851,143.02098769999998,3140.0,,,1.9,0.2028,
133,"Korea, Dem. People’s Rep.",PRK,25549819.0,2384953.0,15815082.0,71.91,212.1901752,,,,13.2,3.6745,65.81699944
134,Kosovo,XKX,1845300.0,,,71.94634146,168.15467990000002,4220.0,35.00026338,44.52738605,,,
135,Kuwait,KWT,4137309.0,105521.0,4137309.0,75.311,232.1722222,34290.0,,,2.0,2.5789,1.060999978
136,Kyrgyz Republic,KGZ,6315800.0,283878.0,2295856.0,71.2,32.92909281,1220.0,39.34974755,57.86212525,4.5,1.876,33.86500072
137,Lao PDR,LAO,7061507.0,287767.0,2471810.0,67.277,30.59578423,2450.0,,,1.5,0.4997,79.95300102
138,Late-demographic dividend,LTE,2288665963.0,245419442.0,1429159724.0,75.99540149,51.40872056,9259.092606999999,,,4.219381966,1.9456894269999998,39.16579493
139,Latin America & Caribbean,LCN,641357515.0,54091560.0,516796961.0,75.28021575,32.00573337,8718.564794,,,2.1732772590000002,2.169931123,32.66291599
140,Latin America & Caribbean (excluding high income),LAC,609013934.0,50193307.0,489657102.0,75.08345444,32.02146146,8324.910327,,,2.1629051319999997,2.190200028,33.12973958
141,Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713.0,51638103.0,504218023.0,75.19246541,31.41414444,8630.393323,,,2.0896754769999997,2.051742928,33.20073483
142,Latvia,LVA,1926542.0,386149.0,1312784.0,74.68048780000001,30.98330653,16510.0,,,5.8,3.1946,7.909000158
143,Least developed countries: UN classification,LDC,1009662578.0,35744163.0,338924137.0,64.70773022,56.8413289,1079.6676320000001,,,,0.25851559399999996,73.71781238
144,Lebanon,LBN,6848925.0,479587.0,6067668.0,78.833,669.4941349,7920.0,,,2.9,2.271,27.58699918
145,Lesotho,LSO,2108132.0,103321.0,593502.0,52.946999999999996,69.43781291,1390.0,,6.322613607999999,,0.0676,54.74500179
146,Liberia,LBR,4818977.0,156782.0,2464955.0,63.295,50.03090739,610.0,0.49642876799999996,14.43706455,0.8,0.0373,77.70799923
147,Libya,LBY,6678567.0,293325.0,5349666.0,72.52,3.7956323810000003,6400.0,,,3.7,2.1581,5.711000025
148,Liechtenstein,LIE,37910.0,,5436.0,82.25853659,236.9375,,,,,,
149,Lithuania,LTU,2789533.0,549678.0,1887928.0,74.67073171,44.53135138,17430.0,,,7.3,4.337,9.517999709
150,Low & middle income,LMY,6383958209.0,456730553.0,3211979837.0,70.79658768,69.24159606,4843.825104,,,2.432006105,1.217851631,52.67263641
151,Low income,LIC,705417321.0,23216497.0,229769967.0,63.39261016,51.67373831,840.5634902,,,,0.324906629,80.21720895
152,Lower middle income,LMC,3022905169.0,167148984.0,1224515091.0,68.32302436,150.08151819999998,2242.032711,,,0.9861236309999999,0.7470908540000001,63.06197789
153,Luxembourg,LUX,607728.0,86195.0,552917.0,82.68536585,250.0938272,70870.0,,,4.8,3.0266,6.2210000160000005
154,"Macao SAR, China",MAC,631636.0,66222.0,631636.0,83.98899999999999,20777.50026,79110.0,,,,,3.217999935
155,Madagascar,MDG,26262368.0,784383.0,9767237.0,66.311,45.13985562,510.0,,5.6994308789999995,0.2,0.1812,85.2480011
156,Malawi,MWI,18143315.0,479970.0,3072933.0,63.278999999999996,192.4407616,360.0,0.566048355,41.52312278,1.3,0.0157,59.53000069
157,Malaysia,MYS,31528585.0,2103510.0,23973075.0,75.828,95.96282149,10590.0,,,1.9,1.5132,21.79099989
158,Maldives,MDV,515696.0,19098.0,205288.0,78.325,1718.9866670000001,9280.0,,,,1.0379,19.34999919
159,Mali,MLI,19077690.0,478322.0,8080546.0,58.452,15.63501586,840.0,,,0.1,0.1393,89.62799835
160,Malta,MLT,483530.0,98395.0,457477.0,82.45365854,1511.03125,26480.0,,,4.7,3.826,9.834999964
161,Marshall Islands,MHL,58413.0,,44996.0,,324.5166667,4860.0,,,2.7,0.4554,
162,Mauritania,MRT,4403319.0,138313.0,2363349.0,64.464,4.272163578,1160.0,,45.21555033,,0.179,52.81000137
163,Mauritius,MUS,1265303.0,145183.0,516155.0,74.51463415,623.3019704,12050.0,18.79151166,46.62646318,3.4,2.0246,16.25899959
164,"Micronesia, Fed. Sts.",FSM,112640.0,4502.0,25573.0,67.618,160.9142857,3400.0,,,,0.177,
165,Middle East & North Africa,MEA,448912859.0,23263387.0,293463198.0,73.90103351,39.99770291,7693.20173,,,1.6284850709999998,1.2594006000000002,24.53260421
166,Middle East & North Africa (excluding high income),MNA,382896715.0,20582368.0,235828183.0,73.39427025,44.31116946,3886.780112,,,1.5166967169999999,1.069437666,31.27751749
167,Middle East & North Africa (IDA & IBRD countries),TMN,378327628.0,20439205.0,232348184.0,73.39013107,43.81292975,3890.242024,,,1.5166967169999999,1.069437666,31.34922266
168,Middle income,MIC,5678540888.0,433514056.0,2982209870.0,71.70243385,72.29486998,5342.851482,,,2.400673121,1.322419873,49.45858766
169,Moldova,MDA,3545883.0,406697.0,1511574.0,71.717,123.5198035,2980.0,43.89807655,56.59122874,5.8,3.2002,34.25500035
170,Monaco,MCO,38682.0,,38682.0,,19196.0,,,,13.8,6.5617,
171,Mongolia,MNG,3170208.0,129457.0,2169849.0,69.509,2.040608667,3660.0,43.27927886,99.89907534,7.0,2.8866,48.90499926
172,Montenegro,MNE,622345.0,93196.0,415807.0,76.667,46.27100372,8430.0,47.932544799999995,56.44447529,4.0,2.3337,13.26700044
173,Morocco,MAR,36029138.0,2526689.0,22501278.0,76.218,80.72851893,3090.0,,,1.1,0.7273,48.81599998
174,Mozambique,MOZ,29495962.0,852659.0,10615007.0,59.309,37.50853531,460.0,3.808727213,6.3128615020000005,0.7,0.0735,83.08600235
175,Myanmar,MMR,53708395.0,3106838.0,16423490.0,66.558,82.23861548,1310.0,,,0.9,0.8640000000000001,59.54499817
176,Namibia,NAM,2448255.0,89019.0,1224911.0,63.021,2.973745582,5220.0,,,,0.374,24.73599935
177,Nauru,NRU,12704.0,,12704.0,,635.2,12060.0,,,5.0,1.2389,
178,Nepal,NPL,28087871.0,1608781.0,5544546.0,70.169,195.9391071,970.0,5.258961216,43.485383299999995,0.3,0.6507,79.38199997
179,New Caledonia,NCL,284060.0,26060.0,200782.0,77.14878049,15.53938731,,,,,,12.87900035
180,New Zealand,NZL,4885500.0,764699.0,4227814.0,81.65853659,18.55417569,40640.0,,,2.8,3.0252,12.34000021
181,Nicaragua,NIC,6465513.0,339278.0,3783748.0,74.068,53.72704836,2030.0,13.70803917,68.15149333,0.9,1.0056,39.38899994
182,Niger,NER,22442948.0,582396.0,3686254.0,61.599,17.71765059,390.0,1.373099457,21.38065487,0.3,0.05,89.05999947
183,Nigeria,NGA,195874740.0,5381418.0,98611179.0,53.95,215.06498900000003,1960.0,2.707068899,6.41370667,,0.3827,78.33800125
184,North America,NAC,364290258.0,58103481.0,299348798.0,78.9142768,19.97097624,61242.438129999995,,,2.9,2.596342521,4.487628966
185,North Macedonia,MKD,2082958.0,284744.0,1207345.0,75.589,82.59151467,5450.0,,,4.4,2.8736,19.10099983
186,Northern Mariana Islands,MNP,56882.0,,52114.0,,123.6565217,,,,,,
187,Norway,NOR,5314336.0,906053.0,4370935.0,82.5097561,14.55491954,80610.0,,,3.9,4.6336,4.731999978
188,Not classified,INX,,,,,,,,,,,
189,OECD members,OED,1303529456.0,223146231.0,1050557502.0,80.13846573,37.80923456,40095.15689,,,3.814280425,2.8919392860000004,11.72049032
190,Oman,OMN,4829483.0,115559.0,4082797.0,77.393,15.6041454,15140.0,,,1.6,1.9697,2.556999967
191,Other small states,OSS,30758989.0,1687570.0,19106876.0,68.20548751,15.13861641,13323.08199,,,,0.7658038659999999,29.04968416
192,Pacific island small states,PSS,2457367.0,106937.0,952999.0,69.77428378,38.27674455,4150.690246,,,,0.47855072600000004,59.78980123
193,Pakistan,PAK,212215030.0,9152355.0,77810763.0,66.947,275.28931869999997,1590.0,6.0080077020000004,16.79938871,0.6,0.9753,59.25
194,Palau,PLW,17907.0,,14313.0,,38.92826087,17280.0,,,4.8,1.1848,
195,Panama,PAN,4176873.0,338524.0,2828119.0,78.149,56.18607748,14370.0,17.88277697,63.38658109,2.3,1.5699,32.20700073
196,Papua New Guinea,PNG,8606316.0,296511.0,1133366.0,64.01,19.00436338,2570.0,,,,0.0529,78.32900047
197,Paraguay,PRY,6956071.0,447290.0,4283896.0,73.992,17.50835892,5670.0,13.84256767,63.37636479,1.3,1.3659999999999999,38.44999981
198,Peru,PER,31989256.0,2587417.0,24921870.0,76.286,24.99160625,6470.0,11.51586485,64.854444,1.6,1.27,50.95499897
199,Philippines,PHL,106651922.0,5463318.0,50027217.0,70.952,357.6883053,3830.0,8.922149458,40.62007161,1.0,1.275,33.83599949
200,Poland,POL,37978548.0,6653012.0,22809156.0,77.85121951,124.0358862,14100.0,43.78842962,64.41412591,6.5,2.3998,16.25
201,Portugal,PRT,10281762.0,2257243.0,6704840.0,81.12439024,112.2394535,21990.0,,,3.4,3.3356,12.22599974
202,Post-demographic dividend,PST,1109997273.0,210394622.0,902213494.0,80.61363761,35.26748894,44833.2672,,,4.607212908999999,3.1621791160000003,8.869922368
203,Pre-demographic dividend,PRE,919485393.0,25320915.0,379075795.0,60.42746691,51.68744002,1373.101651,,,,0.218402845,75.62257899
204,Puerto Rico,PRI,3195153.0,596690.0,2989960.0,79.63453659,360.22018039999995,21100.0,,,,,12.98100038
205,Qatar,QAT,2781677.0,38111.0,2757615.0,79.98100000000001,239.5931955,61150.0,,,1.2,0.0008,0.133999999
206,Romania,ROU,19473936.0,3571267.0,10515536.0,75.3097561,84.63984701,11290.0,46.85993393,83.68854882,6.3,2.2586,25.20800018
